iter	RMSE
0	13.38597033
1	12.81700706
2	12.29748476
3	11.83122858
4	11.38795033
5	10.98568638
6	10.60995582
7	10.27568563
8	9.970676757
9	9.69569755
10	9.440075071
11	9.209551569
12	9.003565903
13	8.801385428
14	8.629480404
15	8.469050887
16	8.322595206
17	8.175982223
18	8.060187325
19	7.951033305
20	7.851326393
21	7.756078771
22	7.67183048
23	7.606661658
24	7.540563397
25	7.477630265
26	7.4120088
27	7.354360491
28	7.302107266
29	7.252562618
30	7.198130765
31	7.156305781
32	7.115594214
33	7.080511759
34	7.043532635
35	7.011696455
36	6.98307152
37	6.953683447
38	6.93083748
39	6.907675067
40	6.88720426
41	6.855806354
42	6.827328541
43	6.810159766
44	6.795212329
45	6.7728276
46	6.750835587
47	6.737852335
48	6.723932959
49	6.708307251
50	6.694099359
51	6.67807726
52	6.663815513
53	6.653548549
54	6.640503
55	6.631115867
56	6.622038198
57	6.611632599
58	6.600154403
59	6.589397426
60	6.578064753
61	6.570500799
62	6.56446438
63	6.55493047
64	6.544793526
65	6.539477477
66	6.522626613
67	6.515574779
68	6.505823828
69	6.498290119
70	6.494328282
71	6.486012836
72	6.48144797
73	6.476157742
74	6.469166145
75	6.463346808
76	6.457410658
77	6.452618058
78	6.44756543
79	6.443588274
80	6.43946333
81	6.43181401
82	6.428510689
83	6.422844273
84	6.418889603
85	6.409611501
86	6.4042373
87	6.399864316
88	6.397194588
89	6.389644152
90	6.379761448
91	6.373514262
92	6.37057647
93	6.366708807
94	6.361198895
95	6.353216611
96	6.349615288
97	6.346497972
98	6.344682099
99	6.342618411
100	6.340308638
101	6.337300889
102	6.335866213
103	6.328825564
104	6.325915809
105	6.323813209
106	6.322543391
107	6.319992229
108	6.316154946
109	6.312709644
110	6.311463417
111	6.310198614
112	6.308598837
113	6.30613862
114	6.294930979
115	6.292787242
116	6.291211987
117	6.288871259
118	6.285328975
119	6.283753008
120	6.281968881
121	6.280467503
122	6.277195442
123	6.27368775
124	6.272512703
125	6.264971447
126	6.260124795
127	6.255550861
128	6.247843176
129	6.245294736
130	6.24215466
131	6.240693427
132	6.237705241
133	6.236194944
134	6.233307126
135	6.231814919
136	6.227361457
137	6.225571844
138	6.223275035
139	6.219622563
140	6.217810503
141	6.213126213
142	6.211793825
143	6.208981851
144	6.207582667
145	6.206560873
146	6.205164476
147	6.204062481
148	6.200588375
149	6.196481537
150	6.195530429
151	6.193488653
152	6.189813845
153	6.18595679
154	6.184336123
155	6.182602383
156	6.179430429
157	6.177671131
158	6.172778251
159	6.171487746
160	6.169971435
161	6.167573395
162	6.161851028
163	6.160976133
164	6.159396474
165	6.155827852
166	6.154709999
167	6.153195785
168	6.149585285
169	6.148380827
170	6.146349824
171	6.145002636
172	6.141479447
173	6.138605016
174	6.136468726
175	6.131451785
176	6.128509888
177	6.127645885
178	6.125703307
179	6.123426207
180	6.121575633
181	6.118820318
182	6.116284331
183	6.11516119
184	6.113904533
185	6.111634255
186	6.109276243
187	6.106627126
188	6.104890766
189	6.103358819
190	6.101697578
191	6.099828969
192	6.097219118
193	6.094070045
194	6.092877801
195	6.091085892
196	6.08833276
197	6.08701487
198	6.086225235
199	6.084047874
200	6.082136599
201	6.079210054
202	6.077832308
203	6.076375936
204	6.074243523
205	6.072288447
206	6.070163912
207	6.068856408
208	6.068009115
209	6.067029097
210	6.064508597
211	6.063879217
212	6.062480199
213	6.061633716
214	6.059921155
215	6.059355212
216	6.058692768
217	6.056012729
218	6.05310359
219	6.05126969
220	6.049544582
