iter	Passed	Remaining
0	3	3742
1	7	3838
2	11	3821
3	15	3779
4	18	3746
5	22	3715
6	26	3704
7	29	3681
8	33	3673
9	36	3649
10	40	3668
11	44	3637
12	47	3620
13	51	3610
14	55	3626
15	58	3616
16	62	3619
17	66	3608
18	69	3602
19	73	3594
20	76	3585
21	81	3609
22	84	3607
23	88	3615
24	92	3606
25	95	3593
26	99	3596
27	103	3586
28	107	3586
29	110	3587
30	114	3592
31	118	3592
32	122	3585
33	125	3577
34	129	3578
35	133	3570
36	136	3563
37	140	3555
38	144	3549
39	147	3547
40	151	3537
41	154	3529
42	158	3522
43	161	3517
44	165	3521
45	170	3526
46	174	3529
47	177	3527
48	181	3528
49	186	3535
50	190	3545
51	194	3550
52	198	3549
53	202	3546
54	207	3562
55	211	3559
56	215	3561
57	235	3829
58	239	3826
59	243	3820
60	248	3819
61	251	3811
62	255	3799
63	258	3787
64	262	3778
65	266	3775
66	270	3761
67	273	3754
68	277	3741
69	281	3739
70	284	3728
71	288	3719
72	292	3711
73	295	3703
74	299	3693
75	303	3687
76	307	3680
77	310	3671
78	314	3662
79	317	3650
80	321	3647
81	325	3640
82	328	3633
83	332	3626
84	336	3618
85	340	3622
86	344	3614
87	348	3608
88	351	3599
89	355	3595
90	359	3587
91	362	3580
92	366	3575
93	370	3571
94	374	3566
95	378	3560
96	381	3552
97	385	3549
98	389	3542
99	393	3537
100	396	3530
101	400	3528
102	404	3520
103	407	3513
104	411	3506
105	415	3501
106	419	3497
107	422	3490
108	426	3488
109	430	3483
110	434	3478
111	438	3472
112	441	3466
113	445	3462
114	449	3457
115	453	3454
116	456	3447
117	460	3444
118	464	3438
119	468	3434
120	472	3429
121	476	3425
122	480	3425
123	484	3425
124	489	3425
125	493	3423
126	497	3417
127	501	3413
128	504	3408
129	508	3403
130	512	3399
131	516	3393
132	519	3389
133	523	3383
134	527	3378
135	530	3372
136	534	3367
137	539	3367
138	542	3361
139	546	3355
140	550	3350
141	553	3345
142	557	3339
143	561	3335
144	564	3331
145	568	3326
146	572	3322
147	576	3316
148	580	3314
149	584	3311
150	588	3307
151	592	3302
152	595	3298
153	599	3295
154	603	3291
155	608	3290
156	612	3290
157	616	3284
158	620	3281
159	624	3279
160	628	3277
161	632	3272
162	636	3267
163	640	3263
164	644	3259
165	648	3260
166	653	3257
167	657	3255
168	661	3253
169	666	3251
170	669	3248
171	674	3245
172	677	3239
173	681	3234
174	685	3231
175	689	3227
176	693	3224
177	697	3220
178	701	3218
179	706	3217
180	711	3217
181	715	3215
182	719	3211
183	723	3209
184	727	3204
185	732	3203
186	735	3199
187	740	3197
188	745	3197
189	749	3194
190	753	3192
191	759	3198
192	764	3195
193	768	3191
194	772	3187
195	776	3187
196	781	3184
197	785	3181
198	789	3178
199	793	3175
200	797	3171
201	801	3167
202	805	3163
203	809	3159
204	813	3154
205	817	3150
206	821	3146
207	826	3146
208	830	3142
209	833	3136
210	838	3136
211	842	3132
212	847	3131
213	851	3128
214	855	3122
215	859	3120
216	863	3115
217	867	3111
218	871	3108
219	875	3103
220	879	3099
221	883	3095
222	886	3089
223	890	3084
224	894	3079
225	898	3077
226	902	3071
227	906	3068
228	910	3064
229	914	3060
230	917	3055
231	921	3049
232	925	3045
233	928	3040
234	932	3035
235	936	3030
236	939	3025
237	943	3020
238	947	3016
239	951	3012
240	955	3007
241	958	3003
242	962	2998
243	966	2993
244	970	2991
245	974	2986
246	978	2982
247	981	2977
248	985	2973
249	989	2967
250	993	2964
251	997	2960
252	1000	2955
253	1004	2950
254	1008	2945
255	1011	2941
256	1015	2936
257	1019	2931
258	1023	2926
259	1026	2921
260	1030	2918
261	1034	2913
262	1038	2909
263	1041	2904
264	1045	2900
265	1049	2896
266	1053	2891
267	1056	2886
268	1060	2882
269	1064	2877
270	1068	2874
271	1073	2872
272	1077	2869
273	1081	2864
274	1085	2860
275	1089	2856
276	1092	2852
277	1096	2847
278	1100	2842
279	1104	2838
280	1107	2833
281	1111	2829
282	1115	2825
283	1118	2820
284	1122	2817
285	1126	2812
286	1130	2808
287	1134	2803
288	1137	2799
289	1141	2794
290	1145	2791
291	1149	2787
292	1153	2782
293	1156	2777
294	1160	2773
295	1164	2770
296	1168	2766
297	1172	2761
298	1176	2757
299	1179	2753
300	1183	2748
301	1187	2744
302	1191	2739
303	1194	2735
304	1198	2730
305	1202	2726
306	1205	2721
307	1209	2717
308	1213	2713
309	1217	2709
310	1220	2704
311	1224	2701
312	1228	2696
313	1231	2691
314	1235	2687
315	1239	2683
316	1244	2680
317	1248	2676
318	1251	2672
319	1256	2669
320	1259	2665
321	1264	2661
322	1268	2658
323	1272	2654
324	1276	2651
325	1280	2647
326	1284	2644
327	1288	2640
328	1292	2636
329	1297	2634
330	1301	2630
331	1305	2627
332	1309	2623
333	1313	2620
334	1317	2616
335	1322	2612
336	1326	2609
337	1331	2606
338	1335	2603
339	1339	2600
340	1344	2598
341	1349	2596
342	1353	2592
343	1357	2589
344	1361	2585
345	1366	2581
346	1370	2579
347	1375	2577
348	1379	2573
349	1384	2571
350	1389	2568
351	1393	2566
352	1398	2562
353	1402	2558
354	1405	2554
355	1410	2551
356	1414	2547
357	1418	2543
358	1422	2539
359	1426	2535
360	1430	2532
361	1435	2529
362	1439	2525
363	1443	2522
364	1448	2519
365	1452	2516
366	1457	2513
367	1461	2509
368	1465	2506
369	1469	2502
370	1474	2500
371	1479	2497
372	1483	2494
373	1487	2490
374	1492	2487
375	1496	2483
376	1500	2479
377	1505	2476
378	1509	2473
379	1513	2469
380	1517	2466
381	1522	2463
382	1526	2458
383	1530	2455
384	1534	2451
385	1538	2447
386	1542	2443
387	1546	2438
388	1550	2435
389	1554	2431
390	1557	2426
391	1561	2422
392	1565	2417
393	1569	2414
394	1573	2409
395	1576	2404
396	1580	2401
397	1584	2397
398	1588	2393
399	1593	2389
400	1597	2386
401	1601	2382
402	1605	2378
403	1609	2374
404	1614	2371
405	1618	2367
406	1622	2364
407	1627	2361
408	1631	2358
409	1636	2354
410	1641	2352
411	1645	2348
412	1649	2344
413	1653	2340
414	1657	2336
415	1662	2333
416	1666	2330
417	1671	2327
418	1676	2325
419	1681	2321
420	1685	2318
421	1690	2315
422	1695	2312
423	1699	2309
424	1704	2305
425	1708	2302
426	1713	2299
427	1718	2296
428	1722	2292
429	1727	2289
430	1731	2285
431	1736	2283
432	1741	2279
433	1745	2276
434	1749	2272
435	1754	2269
436	1758	2265
437	1762	2261
438	1766	2257
439	1770	2253
440	1775	2250
441	1779	2246
442	1783	2242
443	1788	2239
444	1792	2235
445	1797	2232
446	1802	2229
447	1806	2225
448	1810	2222
449	1814	2218
450	1818	2214
451	1823	2210
452	1827	2206
453	1831	2202
454	1836	2199
455	1840	2196
456	1844	2191
457	1848	2187
458	1853	2185
459	1857	2181
460	1862	2177
461	1866	2173
462	1870	2169
463	1874	2165
464	1878	2161
465	1882	2156
466	1886	2152
467	1889	2148
468	1893	2144
469	1897	2139
470	1901	2136
471	1905	2131
472	1909	2127
473	1913	2123
474	1917	2119
475	1921	2115
476	1924	2110
477	1928	2106
478	1932	2101
479	1936	2097
480	1939	2093
481	1943	2088
482	1947	2084
483	1951	2080
484	1954	2075
485	1958	2071
486	1962	2066
487	1966	2062
488	1970	2058
489	1973	2054
490	1977	2049
491	1981	2045
492	1984	2041
493	1988	2036
494	1992	2032
495	1996	2028
496	2001	2025
497	2005	2021
498	2010	2018
499	2014	2014
500	2018	2010
501	2022	2006
502	2026	2002
503	2030	1998
504	2034	1994
505	2038	1990
506	2042	1985
507	2046	1981
508	2049	1977
509	2053	1973
510	2057	1968
511	2060	1964
512	2065	1960
513	2069	1956
514	2073	1952
515	2076	1948
